ID,Name,Arabic Name,Alternative Name,Arabic Alternative Name,Library of Congress Name,Arabic Library of Congress Name,Also Known As,Arabic Also Known As,Documentation,Arabic Documentation,All Nisba IDs,Date of Death,Arabic Date of Death,Date of Birth,Arabic Date of Birth,Group ID,Reference Number,Hidden
2675,Bashīr b. al-Ḥāj al-Hādī al-Idayllbī,بشير بن الحاج الهادي الإديلبي,aṭ-Ṭālib Bashīr b. al-Ḥāj al-Hādī al-Idayllbī  (Ibn Hamidun and Heymowski); aṭ-Ṭālib (Muhammad) al-Bashīr b. al-Ḥāj al-Hādī al-Idailabī al-Walātī al-Niʿmāwī (MLG),الطالب البشير بن الحاج الهادي الإديلبي (ابن حامد وهيموسكي),,,Muḥammad Bashīr,محمد البشير,Arabic Literature of Africa vol. V  p. 793,الأدب العربي في أفريقيا المجلد الخامس ص 793,[1426],26 Safar 1197/ 30 January 1783,ليلة الثلاثاء 26 صفر عام 1197هـ/ 30 يناير 1783.,,,11,,
2677,Muḥammad al-Bashīr b. Muḥammad al-Barkawī,محمد البشير بن محمد البكوي,,,,,,,,,[469],,,,,,,
2678,Muḥammad al-Bashshār,محمد البشار,,,,,,,,,,,,,,,,
2679,Muḥammad al-Biblāwī al-Miṣrī,محمد الببلاوي المصري,,,,,,,,,[1665][670],,,,,,,
2680,Muḥammad al-Buʿumrāni al-Sūsī,محمد البعمراني السوسي,,,,,,,,,[148][1668],,,,,,,
2681,Muḥammad al-Bukhārī b. Aḥmad b. ʿUthmān, محمد البخاري بن أحمد بن عثمان,,,,,,,,,,1328/1910,,,,,,
2682,Muḥammad al-Fagh b. Muḥammad Ibrāhīm al-Kallādī (Gallādī),محمد الفغ بن محمد إبراهيم الكلادي,,,,,Ḥakku,حك,,,[1706][1941],,,,,,,
2684,Muḥammad al-Faqīh b. ʿAbd Allāh b. Wadīʿa Allāh,محمد الفقيه بن عبد الله ابن وديعة الله,,,,,,,,,,,,,,,,
2686,Muḥammad al-Faqīh Ḥukku,محمد الفقيه حك,Muḥammad al-Faqīh b. Muḥammad Ibrāhīm (?),محمد الفقيه بن محمد إبراهم (؟),,,,,,,,,,,,,,
2687,Muḥammad al-Fatī b. Muḥammad al-Qānī b. Muḥammad Thānī.,محمد الفتى بن محمد القانى بن محمد الثانى,,,,,,,,,,,,,,,,
2688,Muḥammad al-Ghālī b. Muḥammad Inuwa Shams al-Dīn,محمد الغالي بن محمد إنو شمس الدين,,,,,,,,,[1704][268],,,,,,,
2689,Muḥammad al-Ghānī b. Muḥammad Thānī,محمد الغني بن محمد ثاني,,,,,Qamẓūu,قمظوا,,,,,,,,,,
2690,Muḥammad al-Hābī al-Tījānī,محمد الهابي التجاني,,,,,,,,,[300],,,,,,,
2691,Muḥammad al-Ḥabīb b. Saʿīd al-Kandarī,محمد الحبيب بن سعيد الكندري,,,,,,,,,[965],,,,,,,
2692,Muḥammad al-Hādī b. ʿUmar b. Saʿīd,محمد الهادي بن شيخ عمر بن سعيد,,,,,Amīr al-Muʾminīn,أمير المؤمنين,"also see author # 2693, ""Muḥammad al-Hādī b. ʿUmar b. Saʿīd and Muḥammad al-ʿAqīb and Muḥammad al-Maḥī""",,,1278/1861-2,,,,,,
2693,Muḥammad al-Hādī b. ʿUmar b. Saʿīd and Muḥammad al-ʿAqīb and Muḥammad al-Maḥī,محمد الهادي بن عمر بن سعيد ومحمد العقيب ومحمد الماحي,,,,,,,,,,1278/1861-2,,,,,,
2694,Muḥammad al-Hādī b. al-Ṭālib Surku al-Arawānī,محمد الهادي بن الطالب سرك الأرواني,,,,,,,,,[522],,,,,,,
2695,Muḥammad al-Hādī b. Mawlūd Fal,محمد الهادي بن مولود فال,,,,,,,,,,1367/1947,,,,,,
2696,Muḥammad al-Hādī b. Muḥammad b. Sīdi ʿAbd Allāh al-ʿAlawī,محمد الهادي بن محمد بن سيد عبد الله العلوي,,,,,,,,,[867],,,,,,,
2697,Muḥammad al-Ḥaḍramī b. ʿUbayd al-Jakanī,محمد الحضرمي بن عبيد الجكني,,,,,,,,,[7],1376/1956,,,,,,
2698,Muḥammad al-Ḥāfiẓ al-Sharīf al-Ghallāwī,محمد الحافظ الشريف الغلاوي,,,,,,,,,[103],,,,,,,
2700,Muḥammad al-Ḥāfiẓ b. ʿAbd al-Laṭif b. Sālim al-Tījānī,محمد الحافظ بن عبد اللطيف بن سالم التجاني,,,,,Muḥammad al-Ḥāfiẓ,محمد الحافظ,,,[300],1348/1930,,,,,,
2701,Muḥammad al-Ḥāfiẓ b. Aḥmad al-Tandaghī,محمد الحافظ بن أحمد التندغي,,,,,,,,,[84],,,,,,,
2702,Muḥammad al-Ḥajūjī,محمد الحجوجي,,,,,,,,,[1689][5],,,,,,,
2703,Muḥammad al-Ḥasan al-Kūrī,محمد الحسن الكوري,,,,,,,,,[255],,,,,,,
2704,Muḥammad al-Ḥasan b. Aḥmadū al-Khadīm al-Yaʿqūbī,محمد الحسن بن أحمدُّو الخديم اليعقوبي,,,,,,,Arabic Literature of Africa vol. V  p. 1635,الأدب العربي في أفريقيا المجلد الخامس ص 1635,[46],,,1357/1938,1357/1938,11,,
2705,Muḥammad al-Ḥasan b. Ḥammāh b. Muḥammad Yaḥyā,محمد الحسن بن حماه بن محمد يحيي,,,,,,,,,,,,,,,,
2706,Muḥammad al-Ḥasan b. Isḥāq,محمد الحسن بن إسحاق,,,,,,,,,,,,,,,,
2707,Muḥammad al-Ḥasan b. Muḥammad b. al-Imām al-Gulālī aj-Jakanī,محمد الحسن بن محمد بن الإمام الگلالي الجكني,Baydar b. al-Imām,بيدر بن الإمام,,,Baydar,بيدر,Arabic Literature of Africa vol. V  p. 919,الأدب العربي في أفريقيا المجلد الخامس ص 919,[1413][7],1373/1953-4,1373/1953-4,1287/1870,1287/1870,11,,
2708,Muḥammad al-Ḥasan b. Muḥammad al-Muṣṭafa al-Anṣārī,محمد الحسن بن محمد المصطفي الأنصاري,,,,,,,,,[13],,,,,,,
2709,Muḥammad al-Ḥasan b. Muḥammad b. Aḥmad b. Muḥammad b. Mālik al-Tūwātī,محمد الحسن بن محمد بن أحمد بن محمد بن مالك التواتي,,,,,,,,,[523],,,,,,,
2710,Muḥammad al-Ḥasan b. Muḥammad Yaḥyā b. Muḥammad al-Mukhtār al-Walātī,محمد الحسن بن محمد يحيي بن محمد المختار الولاتي,,,,,,,Arabic Literature of Africa vol. V  p. 1537,الأدب العربي في أفريقيا المجلد الخامس ص 1537,[172],,,,,11,,
2711,Muḥammad al-Ḥasan b. Sīdī b. Muḥammad Mbārak,محمد الحسن بن سيد بن محمد امبارك,,,,,,,Arabic Literature of Africa vol. V  p. 1715,الأدب العربي في أفريقيا المجلد الخامس ص 1715,,1380/1960-1,,,,11,,
2712,Muḥammad al-Ḥasan b. Tamlīkhā ( تمليخا) at-Tāggāṭī,محمد الحسن بن تمليخا التاگاطي,,,,,,,Arabic Literature of Africa vol. V  p. 1269,الأدب العربي في أفريقيا المجلد الخامس ص 1269,[621],,,,,11,,
2714,Muḥammad al-Hāshim b. Ishdaī,محمد الهاشم بن إشدي,,,,,,,,,,,,,,,,
2715,Muḥammad al-Hāshimī b. Aḥmad b. Saʿīd al-Fūtī,محمد هاشمي بن أحمد بن سعيد الفوتي,,,,,Alfā Hāshim,ألفا هاشم,,,[281][857],,,,,,,
2716,Muḥammad al-Hāshimī b. Muḥammad al-Manṣūr,محمد الهاشمي بن محمد المنصور,,,,,,,,,[546],,,,,,,
2717,Muḥammad al-Huddu,محمد الهدد,,,,,,,,,,,,,,,,
2718,Muḥammad al-Ḥusayn b. Abī Bakr b. Abū Bakr b. Akād,محمد الحسين بن أبي بكر بن أبو بكر بن أكاد,,,,,,,,,,,,,,,,
2719,Muḥammad al-Imām b. Muḥammad b. al-Suyūṭī al-Tīnbuktī,محمد الإمام بن محمد بن السيوطي التنبكتي,,,,,,,,,[277][39],,,,,,,
2720,Muḥammad al-Jāmiʿ,محمد الجامع,,,,,,,,,,,,,,,,
2721,Muḥammad al-Janānī,محمد الجناني,,,,,,,,,[755],,,,,,,
2722,Muḥammad al-Jawharī b. al-Qāḍī Aḥmad,محمد الجوهري بن القاضي أحمد,,,,,Faqīh,فقيه,,,,1251/1835-6,,,,,,
2723,Muḥammad al-Jawjī,محمد الجوجي,,,,,,,,,[789],,,,,,,
2724,Muḥammad al-Jayid b. Sayid,محمد الجيد بن سيد,,,,,,,,,,,,,,,,
2725,Muḥammad al-Jayid b. Yaʿqūb,محمد الجيد بن يعقوب,,,,,,,,,,,,,,,,
2726,Muḥammad al-Jazūlī,محمد الجزولي,,,,,,,,,[433],,,,,,,
2727,Muḥammad al-Jumuʿa b. Mammā al-Tārqī al-Inkundarī,محمد الجمعة بن مما التارقي الإنكندري,Muḥammad al-Jumuʿa b. Mammā b. Muḥammad b. al-Mālik,محمد الجمعة بن مما بن محمد بن المالك,,,Ag Mammā al-Inkundarī,أج مما الإنكندري,,السعادة الأبدية,[2045][961],1367/1947-8,1367/1947-8,,,,,
2728,Muḥammad al-Kābarī b. Abī Bakr b. ʿAlī b. Mūsa,محمد الكابري بن أبي بكر بن علي بن موسي,,,,,Modibbo Muḥammad,مودبو محمد,,,[301],fl. 854/1450,,,,,,
2729,Muḥammad al-Kabīr b. Aḥmad b. Muḥammad al-ʿAbbās al-ʿAlawī,محمد الكبير بن أحمد بن محمد العباس العلوي&nbsp;,,,,,,,Arabic Literature of Africa vol. V  p. 219,الأدب العربي في أفريقيا المجلد الخامس ص 219,[6],,,,,11,,
2730,Muḥammad al-Kabīr b.Muḥammad al-Thānī,محمد الكبير بن محمد الثاني,,,,,,,,,[268][300],,,,,,,
2731,Muḥammad al-Khaḍir b. Ḥabīb,محمد الخضر بن حبيب,,,,,,,,,,,,,,,,
2732,Muḥammad al-Khaḍir b. Māyāba aj-Jakanī al-Yūsufī,محمد الخضر بن مايابى الجكني اليوسفي,Muḥammad al-Khaḍir b. Sīdī ʿAbd Allāh b. Aḥmad (Māyāba) aj-Jakanī (Ould al-Bara),محمد الخضر بن سيدي عبد الله بن أحمد (مايابى) الجكني (ابن البراء),,,,,Arabic Literature of Africa vol. V  p. 923,الأدب العربي في أفريقيا المجلد الخامس ص 923,[1468][7],1354/1935-6,1354/1935-6,,,11,,
2733,Muḥammad al-Khalif b. Zayn al-ʿĀbidīn,محمد الخليف بن زين العابدين,,,,,,,,,,,,,,,,
2734,Muḥammad al-Khalīfa b. ʿĀbidīn,محمد الخليفه بن عابدين,,,,,,,,,,,,,,,,
2735,Muḥammad al-Khalīfa b. al-Muṣṭafa al-Sīdi ʿAlī,محمد الخليفة بن المصطفي السيد عالي,,,,,,,,,,,,,,,,
2736,Muḥammad al-Khalīfa b. Muḥammad b. Aḥmad,محمد الخليفه بن محمد بن أحمد,,,,,,,,,,,,,,,,
2738,Muḥammad al-Khāmis b. Abī Bakr b. ʿAlī al-ʿArabī,محمد الخامس بن أبي بكر بن علي العربي,,,,,,,,,[1592][268],1379/1960,,,,,,
2740,Muḥammad al-Khamis b. Shuʿayb al-Kanawī,محمد الخامس بن شعيب الكنوي,,,,,,,,,[268][300],1374/1955,,,,,,
2741,Muḥammad al-Khaṭīb al-Shirbīnī,محمد الخطيب الشربيني,Muhammad b. Muhammad b. Ahmad al-Shirbini al-Qahiri al-Khatib al-Shirbini,,,,,,GAL II 441,,[974],977/1570,,,,,,
2742,Muḥammad al-Kurdūdī,محمد الكردودي,,,,,,,,,[1109],,,,,,,
2743,Muḥammad al-Māʾmūn b. Muḥammad al-Ḥafṣī,محمد المأمون بن محمد الحفصي,,,,,,,,,[730],,,,,,,
2744,Muḥammad al-Mahdī,محمد المهدي,,,,,,,,,,,,,,,,
2745,Muḥammad al-Mahdī al-Anṣārī,محمد المهدي الأنصاري,,,,,,,,,[13],,,,,,,
2746,Muḥammad al-Mahdī b. ʿAbd Allāh,محمد المهدي بن عبد الله,,,,,,,,,,,,,,,,
2748,ʿAbd al-Raḥmān b. Muḥammad al-Mahdī b. Yūsuf al-Fāsī,عبد الرحمان بن محمد المهدي بن يوسف الفاسي,Mahdī b. Aḥmad b. ʿAlī Yūsuf al-Fāsī; Muḥammad al-Mahdī b. Aḥmad al-Fāsī,مهدي بن أحمد بن علي يوسف الفاسي ; محمد المهدي بن أحمد الفاسي,,,,,"GAL II 253,S II 360; This author has been identified from the title of his work; WAAMD collections all use the alternate names listed here.",,[17],1134/1721-2 or 1653,,,,,,
2749,Muḥammad al-Mahdī b. Muḥammad al-Wazzānī,محمد المهدي بن محمد الوزاني,,,,,Abū Muḥammad,أبو محمد,,,[197],,,,,,,
2750,Muḥammad Maḥfuẓ b. Muḥammad al-Amīn at-Tinwājīwī,محمد محفوظ بن محمد الأمين التنواجيوي,,,,,,,Arabic Literature of Africa vol. V  p. 1458,الأدب العربي في أفريقيا المجلد الخامس ص 1458,[229],1426/2006,1426/2006,,,11,,
2751,Muḥammad al-Makkī al-Marrākushī,محمد المكي المراكشي,,,,,,,,,[482][565],,,,,,,
2752,Muḥammad al-Makkī b. ʿAzzūz,محمد المكي بن عزوز,,,,,,,,,,,,,,,,
2753,Muḥammad al-Makkī b. ʿUmar b. Saʿīd,محمد المكي بن عمر بن سعيد,,,,,,,,,[281],,,,,,,
2754,Muḥammad al-Makkī b. Ṭālib,محمد المكي بن طالب,,,,,,,,,[565],1230/1815,,,,,,
2755,Muḥammad al-Makkī b. Ṭālib and Aḥmad al-Tījānī,محمد المكي بن طالب وأحمد التيجاني,,,,,,,,,[300][565],1230/1815,,,,,,
2756,Muḥammad al-Malqisun b. Aḥmad Mawlūd,محمد الملقيسون بن أحمد مولود,,,,,,,,,,,,,,,,
2757,Muḥammad al-Manzilī al-Tūnisī,محمد المنزلي التونسي,,,,,,,,,[162][79],,,,,,,
2758,Muḥammad al-Mawlūd,محمد المولود,,,,,,,,,,,,,,,,
2759,Muḥammad al-Mawlūd and Ḥamād b. Muḥammad,محمد المولود وحماد بن محمد,,,,,,,,,,,,,,,,
2760,Muḥammad al-Mawlūd b. Muḥammad,محمد مولود بن محمد,,,,,,,,,,,,,,,,
2761,Muḥammad al-Mawlūd b. Muḥammad ʿUthmān al-Janāwī,محمد المولود بن محمد عثمان الجناوي,,,,,,,,,[474],,,,,,,
2762,Muḥammad al-Māzirī,محمد المازري,,,,,,,,,[751],,,,,,,
2763,Muḥammad al-Miknāsī al-Fāsī,محمد المكناسي الفاسي,,,,,,,,,[17][91],,,,,,,
2765,Muḥammad al-Mubārik,محمد المبارك,,,,,Ab b. Laḥbīb,أب بن لحبيب,,,,,,,,,,
2766,Muḥammad al-Mubārik b. al-Ṭālib Aḥmad b. Muḥammad b. ʿAbd Allāh,محمد المبارك بن الطالب أحمد بن محمد بن عبد الله,,,,,,,,,,,,,,,,
2767,Muḥammad al-Mubārik b. Māgha,محمد المبارك بن ماغ,,,,,,,,,,,,,,,,
2769,Muḥammad al-Mukhtār b. ʿAlī b. al-Najīb,محمد المختار بن علي بن النجيب,,,,,,,,,,,,,,,,
2770,Muḥammad al-Mukhtār b. ʿUmar al-Amlīhī,محمد المختار بن عمر الأمليهي,,,,,,,,,[984],,,,,,,
2771,Muḥammad al-Mukhtār b. Abī Sayf,محمد المختار بن أبي سيف,,,,,,,,,,,,,,,,
2772,Muḥammad al-Mukhtār b. Aḥmad,محمد المختار بن أحمد,,,,,,,,,,,,,,,,
2773,Muḥammad al-Mukhtār b. Aḥmaddū b. Mbālla at-Tīshītī,محمد المختار بن أحمدُّو بن انباله التيشيتي,ash-Shaykh Muḥammad al-Mukhtār b. Aḥmad b. Umbālla (Mbālla) at-Tīshītī,,,,Mbālla b. Mḥammad b. Ḥima Allāh,انبالّه بن امحمد بن حمى الله,Arabic Literature of Africa vol. V  p. 1497,الأدب العربي في أفريقيا المجلد الخامس ص 1497,[193],1364/1944-5,1364/1944-5,,,11,,
2774,Muḥammad al-Mukhtār b. al-Mahdī b. al-Ṭāhir al-Anṣārī,محمد المختار بن المهدي بن الطاهر الأنصاري,,,,,,,,,[13],,,,,,,
2775,Muḥammad al-Mukhtār b. al-Maḥmadī,محمد المختار بن المحمدي,,,,,,,,,[1113],,,,,,,
2776,Muḥammad al-Mukhtār b. al-Ṭālib,محمد المختار بن الطالب,,,,,,,,,,,,,,,,
2777,Muḥammad al-Mukhtār b. Bāzayd al-Yaʿqūbī al-Aʿmāmī al-Yaʿqūbī,محمد المختار بن بزيد اليعقوبي الأعمامي اليعقوبي,Muḥammad al-Mukhtār b. Bāzayd (MLG),محمد المختار بن بازيد (ربشتوك),,,,,Arabic Literature of Africa vol. V  p. 1642,الأدب العربي في أفريقيا المجلد الخامس ص 1642,[1388][46],1346/1927-8,1346/1927-8,,,11,,
2778,Muḥammad al-Mukhtār b. Bilbillāh al-Yaʿqūbī,محمد المختار بن بلبلاه اليعقوبي,,,,,,,Arabic Literature of Africa vol. V  p. 1443,الأدب العربي في أفريقيا المجلد الخامس ص 1443,[46],,,,,11,,
2779,Muḥammad al-Mukhtār b. Hūd,محمد المختار بن حود,,,,,,,,,,,,,,,,
2780,Muḥammad al-Mukhtār b. Ibrāhīm b. Iribīh,محمد المختار بن إبراهيم بن إربيه,,,,,,,,,,,,,,,,
2781,Muḥammad al-Mukhtār b. Jawād al-Anṣārī,محمد المختار بن جواد الأنصاري,,,,,,,,,[13],1399-1400/1979,,,,,,
2783,Muḥammad al-Mukhtār b. Māmil,محمد المختار بن مامل,,,,,,,,,,,,,,,,
2784,Muḥammad al-Mukhtār b. Muḥammad Aḥmad Bānna al-Arawānī,محمد المختار بن محمد أحمد بان الأرواني,,,,,,,,,[522],,,,,,,
2786,Muḥammad al-Mukhtār b. Muḥammad al-Ḥabīb al-Fullānī,محمد المختار بن محمد الحبيب الفلاني,,,,,,,,,[491],,,,,,,
2787,Muḥammad al-Mukhtār b. Muḥammad al-Marzūqī,محمد المختار بن محمد المرزوقي,,,,,,,,,[977],,,,,,,
2788,Muḥammad al-Mukhtār b. Muḥammad al-Rikābī al-Ḥawḍī and Muḥammad Bāba al-Zayn b. al-Ṣiddīq al-Raqqādī,محمد المختار بن محمد الركابي الحوضي ومحمد بابا الزين بن الصديق الرقادي,,,,,,,,,[899],,,,,,,
2789,Muḥammad al-Mukhtār b. Muḥammad al-Ṭāhir b. al-Najīb,محمد المختار بن محمد الطاهر بن النجيب,,,,,,,,,,,,,,,,
2790,Muḥammad al-Mukhtār b. Muḥammad b. Aḥmad b. Muḥammad al-Amīn b. Bānna,محمد المختار بن محمد بن أحمد بن محمد الأمين بن بان,,,,,,,,,,,,,,,,
2791,Muḥammad al-Mukhtār b. Muḥammad b. al-Wālī,محمد المختار بن محمد بن الوالي,,,,,,,,,[449],,,,,,,
2792,Muḥammad al-Mukhtār b. Muḥammad b. Muḥammad al-Ṣāliḥ b. Muḥammad b. Muḥammad,محمد المختار بن محمد بن محمد الصالح بن محمد بن محمد,,,,,Quṭub,قطب,,,,,,,,,,
2793,al-Mukhtār b. Abbū al-Walātī,المختار بن أبو الولاتي,Muḥammad al-Mukhtār b. Muḥammad Yaḥyā b. Muḥammad b. Muḥammad al-Mukhtār b. Abbu al-Walātī (MLG),محمد المختار بن محمد يحيي بن محمد بن محمد المختار بن أبًو الولاتي (ربشتوك),,,,,Arabic Literature of Africa vol. V  p. 1561,الأدب العربي في أفريقيا المجلد الخامس ص 1561,[172],,,,,11,,
2794,Muḥammad al-Mukhtār b. Saʿīd,محمد المختار بن سعيد,,,,,,,,,,,,,,,,
2795,Muḥammad Mukhtār (Fatan) b. Sīdi ʿAbd Allāh (Sīdīnā) al-ʿAlawī,محمد مختار (فتى) بن سيدي عبد الله (سيدينا) العلوي,Fatan b. Sīdīnā al-ʿAlawi; Fatan b. al-Ḥāj b. Sīdī Aḥmad al-Khilīfa b. Alfagha Sīdī Aḥmad al-ʿAlawī (MLG),,,,Fatan b. Sīdīnā,فتى بن سيدينا,Arabic Literature of Africa vol. V  p. 239,الأدب العربي في أفريقيا المجلد الخامس ص 239,[6],1255/1839-40,1255/1839-40,,,11,,
2796,Muḥammad al-Mukhtār b. Sīdi ʿAlī,محمد المختار بن سيد عالي,,,,,,,,,,,,,,,,
2797,Muḥammad al-Mukhtār b. Sīdi Aḥmad Lahbib,محمد المختار بن سيد أحمد لحبيب,,,,,,,,,,,,,,,,
2798,Muḥammad al-Mukhtār b. Sīdi Muḥammad,محمد المختار بن سيد محمد,,,,,,,,,,,,,,,,
2799,Muḥammad al-Munīr,محمد المنير,,,,,,,,,,,,,,,,
2800,Muḥammad al-Muntagha b. Aḥmad b. ʿUmar al-Fūtī,محمد المنتغي بن أحمد بن عمر الفوتي,,,,,,,,,[281],,,,,,,
2801,Muḥammad al-Mūsa al-Kabarī al-Kunārī,محمد الموسي الكبري الكناري,,,,,,,,,[1974][301],,,,,,,
2802,Muḥammad al-Muṣṭafa,محمد المصطفي,,,,,Alfā Bīr,ألفا بير,,,,,,,,,,
2803,Muḥammad al-Muṣṭafa b. ʿAbd Allāh al-Inkundarī,محمد المصطفي بن عبد الله الإنكندري,,,,,,,,,[961],,,,,,,
2804,Muḥammad al-Muṣṭafa b. Aḥalūn al-Taktantī,محمد المصطفي بن أحلون التكتنتي,,,,,Mamma,مم,,,[1099],,,,,,,
2805,Muḥammad al-Muṣṭafā b. Sīdī Muḥammad b. an-Nada al-Idyaydbī,محمد المصطفى بن سيدي محمد بن الندى الإديجبي,Muḥammad b. Muḥammad al-Muṣṭafa al-Idjayjbī (AMMS); Muḥammad b. Muḥammad al-Muṣṭafā b. Ahmad al-Idailabī al-Ijaijbī (MLG); Muḥammad al-Muṣṭafa b. Sīdī Muḥammad b. an-Nada (MLG),محمد بن محمد المصطفى الإديجبي (AMMS)؛ محمد بن محمد المصطفى بن أحمد الإديلبي الإديجبي (ربشتوك),,,,الندى,Arabic Literature of Africa vol. V  p. 808,الأدب العربي في أفريقيا المجلد الخامس ص 808,[224],2000,2000,1342/1923,1342/1923,11,,
2806,Muḥammad al-Muṣṭafa b. Bubi,محمد المصطفي بن بوبي,,,,,,,,,,,,,,,,
2807,Muḥammad al-Muṣṭafa b. Ḥammād al-Kallādī (Gallādī),محمد المصطفي بن حماد الكلادي,,,,,Ḥammād,حماد,,,[1706][1941],,,,,,,
2808,Muḥammad al-Muṣṭafa b. Muḥammad al-Thānī,محمد المصطفى بن محمد الثاني,,,,,,,,,[1692][1693],,,,,,,
2809,Muḥammad al-Muṣṭafa Kāmal al-Amīn b. Saʿd,محمد المصطفى كامل الأمين بن سعد,,,,,Ibrāhīm Niyās,إبراهيم انياس,,,[1079],1297/1880,,,,,,
2810,Muḥammad al-Nābigha b. ʿAbd al-Laṭif,محمد النابغة بن عبد اللطيف,,,,,,,,,,,,,,,,
2811,Muḥammad al-Nābighah b. ʻUmar al-Ghallāwī,محمد النابغة بن عمر الغلاوي,Muhammad b. ʿUmar (b.) Dahrah (MLG); Muhammad b. Aʿmar al-Ghallawi ash-Shinqiti (MLG); an-Nābgha al-Ghallāwī (Ibn Hamidun and Heymowski; Muʿjam at-Trarza); Muhammad (an-Nabgha) b. ʿAbd ar-Raḥmān b. ʿUmar b. Banyug al-Ghallawi (Ould al-Bara),محمد بن أعمر الغلاوي الشنقيطي(ربشتوك)؛ النابغة الغلاوي (ابن حامد وهيموسكي و معجم الترارزة)؛ محمد (النابغة) بن عبد الرحمان بن عمر بن بنيوگ الغلاوي (ابن البراء),https://haf.vhmml.org/person/195848388382,,Muḥammad an-Nābigha,النابغة الغلاوي,Arabic Literature of Africa vol. V  p. 610; MLG 713,الأدب العربي في أفريقيا المجلد الخامس ص 610,[103],1245/1828,,,,11,,
2812,Muḥammad al-Najīb b. Muḥammad al-Anuṣamānī,محمد النجيب بن محمد الأنصماني,,,,,Shams al-Dīn,شمس الدين,,,[729],,,,,,,
2819,Muḥammad al-Nāṣir b. Muḥammad al-Mukhtār b. Muḥammad Nāṣir al-Dīn al-Kabarī al-Kanawī,محمد الناصر بن محمد المختار بن محمد ناصر الدين الكبري الكنوي,,,,,Nāṣir Kabara,ناصر كبري,,,[268][301],1996,,,,,,
2820,Muḥammad al-Nāṣir Kabarā,محمد الناصر كبرا,,,,,Nāṣir Kabara,ناصر كبري,,,,[1996],,,,,,
2821,Muḥammad al-Nāwidī b. al-Ṭālib b. Saūda,محمد الناودي بن الطالب بن سودة,,,,,,,,,,,,,,,,
2822,Muḥammad al-Naẓīf al-Marrākushī,محمد النظيف المراكشي,,,,,,,,,[482],,,,,,,
2823,Muḥammad al-Qābisī,محمد القابسي,,,,,,,,,[846],,,,,,,
2824,Muḥammad al-Qālī b. al-Shaykh,محمد القالي بن الشيخ,,,,,,,,,,,,,,,,
2825,Muḥammad al-Qāsim al-Ṣanhājī,محمد بن القاسم الصنهاجي,,,,,,,,,[81],1292/1875,,,,,,
2826,Muḥammad al-Qayrawānī,محمد القيرواني‏,,,,,Abū al-Ḥasan,أبو الحسن,,,[78],376/986-7,,,,,,
2827,Muḥammad al-Rābiʿ,محمد الرابع,,,,,,,,,,,,,,,,
2828,Muḥammad al-Rābiʿ Surāqa Jarrā,محمد الرابع سراقة جرا,,,,,,,,,,,,,,,,
2829,Muḥammad al-Raḥma b. Muḥammad al-Khalīl,محمد الرحمة بن محمد الخليل,,,,,,,,,,,,,,,,
2830,Muḥammad al-Ṣabbān,محمد الصبان,,,,,,,,,,,,,,,,
2833,Muḥammad b. Aʿmar b. Sīdi Muḥammad b. Sīdi al-Mukhtār al-Kuntī,محمد بن أعمر بن سيد محمد بن سيد المختارالكنتي,Muḥammad al-Ṣaghīr b. Aʿmar b. Sīdi Muḥammad b. Sīdi al-Mukhtār al-Kuntī (AMMS),محمد الصغير بن أعمر بن سيد محمد بن سيد المختارالكنتي (AMMS),,,Bāy,باي,"Arabic Literature of Africa vol. V  p. 1027; ALA IV,136-140.",الأدب العربي في أفريقيا المجلد الخامس ص 1027,[14],1347/1928,1347/1928,,,11,,
2834,Muḥammad al-Ṣaghīr b. Aḥmad al-Bakkāʿī al-Kuntī,محمد الصغير بن أحمد البكائي الكنتي,,,,,,,,,[14],,,,,,,
2835,Muḥammad al-Ṣaghīr b. Ibrāhīm al-Fūtī,محمد الصغير بن إبراهيم الفوتي,,,,,,,,,[281],,,,,,,
2836,Muḥammad al-Ṣaghīr b. Ibrāhīm b. ʿUmar al-Dārī,محمد الصغير بن إبراهيم بن عمر الداري,,,,,,,,,[804],,,,,,,
2837,Muḥammad al-Ṣaghīr b. Muḥammad al-Miknāsī al-Dukālī,محمد الصغير بن محمد المكناسي الدكالي,,,,,,,,,[1635][91],,,,,,,
2839,Muḥammad al-Ṣaghīr b. Muḥammad b. ʿAbd Allāh al-Ifrānī al-Marrākushī,محمد الصغير بن محمد بن عبد الله الايفراني المراكشي,,,,,Abū ʿAbd Allāh,أبو عبد الله,,,[1962][482],1743/45,,,,,,
2840,Muḥammad al-Ṣaghīr Sulaymān,محمد الصغير سليمان,,,,,,,,,,,,,,,,
2841,Muḥammad al-Ṣāliḥ,محمد الصالح,,,,,,,,,,,,,,,,
2842,Muḥammad al-Ṣāliḥ al-Būḥinī,محمد الصالح البوحني,,,,,,,,,[1157],,,,,,,
2845,Muḥammad al-Ṣāliḥ b. ʿAbd al-Raḥmān al-Awjailī,محمد الصالح بن عبد الرحمان الأوجلي,Muḥammad al-Ṣāliḥ b. ʿAbd al-Raḥmān al-Awjilī; Muḥammad al-Ṣāliḥ b. ʿAbd al-Raḥmān b. Salīm al-Awjailī,محمد الصالح بن عبد الرحمان الأوجلي; محمد الصالح بن عبد الرحمن ابن سليم الأوجلي,http://id.loc.gov/authorities/names/no2008087697,,Ibn Sulaym al-Awjailī,ابن سليم الأوجلي,ALA II 51,,[287],1216/1801-2,,,,,,
