ID,Nisba,Arabic Nisba
793,Baladī,بلدي
796,Jaʿfarī,جعفري
798,Kūmī,كومي
800,Shaʿrāwī,شعراوي
802,Zanjānī,زنجاني
804,Dārī,داري
806,ʿAdnānī,عدناني
807,Bayḍāwī,بيضاوي
808,Bijāʾī,بجائي
810,Mudwaī,مدوي
813,Mālaqī,مالقي
814,Rawāʿī,رواعي
817,Sukūnī,سكوني
820,Dindī,دندي
821,Tawankalī (?),تونكلي
823,Ismāʿīlī,إسماعيلي
825,ʿArūsī,عروسي
828,Sīllī,سيلي
829,ʿAzīzī,عزيزي
831,Dakarī,دكري
832,Zaghrānī,زغراني
833,Maqrīzī,مقريزي
835,Kabrānī,كبراني
836,Mutanabī,متنبي
837,Kharūbī,خروبي
839,Shadāwī,شداوي
841,Walātī (?),ولاتي (?)
842,Diyārī,دياري
843,Wusī,وسي
844,Kasamānī,كسماني
845,Baynābūwī,بينابوي
846,Qābisī,قابسي
849,Dāṭī,داطي
852,Shīrāzī,شيرازي
853,Burhānī,برهاني
854,ʿAzarī,عزري
856,Sārdūkī,ساردوكي
857,Madanī (Madānī),مدني (مداني)
859,Maḥbūbī (?),محبوبي (؟)
863,Ḥifyānī,حفياني
864,Yaʿzuwī,يعزوي
865,Mīrʿanī,ميرعني
867,Mahdī,مهدي
870,Khālidī,خالدي
871,Jabawī,جبوي
873,Nifāʿ,نفاع
874,Baḥturī,بحتري
875,Rāḍī,راضي
876,Firshī,فرشي
878,Dighirāwī,دغراوي
879,Nāwī,ناوي
880,Aqfarī,أقفري
881,Wafārī,وفارضي
885,Niʿmāwī,نعماوي
886,Dingharāī,دنغراي
890,Ghālī,غالي
892,Shuṭayhī,شطيهي
896,Shaylawī,شيلوي
897,Fūtajālī,فوتجالي
898,Asrī,اسري
899,Raqqādī,رقادي
900,Tanarghī,تنرغي
902,Ḥaddādī,حدادي
903,Badawī,بدوي
905,Nuʿmī,نعمي
906,Ḥijarī,حجري
907,ʿAllūshī,علوشي
909,Rawkazī,روكزي
912,Manshalīlī,منشليلي
913,Ashbīlī,أشبيلي
914,Qāṣādī,قاصادي
915,Iṣfahānī,إصفهاني
916,Ṭāhirī,طاهري
917,Maṭfarī,مطفري
918,Sanyāṭī,سنياطي
920,Amawī,أموي
921,Ḥanbalī,حنبلي
927,Jīrī,جيري
928,Fiqī,فقي
929,Waʿkarī,وعكري
930,Jadāfī,جدافي
936,Khaṭābī,خطابي
938,Mūritālī,موريتالي
939,Ḥakmī,حكمي
940,Jābawī,جابوي
941,Kasāʾī,كسائي
944,Banī,بني
947,Dāwudī,داودي
948,Mopti (Mūbti),مدينة موبت
952,Ḥawrānī,حوراني
954,Aḥmadī,أحمدي
956,Jākawī,جاكوي
959,Tamalī,تملي
961,Inkundarī,إنكندري
963,Damanhūrī,دمنهوري
965,Kandarī,كندري
967,Tawdinī,تودني
971,Kāwī,كاوي
