ID,Parent ID,Subject,Arabic Subject
1015,,jurisprudence: adjudication: legal opinions: living with Christians,فقه: قضاء: فتاوي: سكن مع النصاري
1016,,devotional: prayer,تحنث: صلاة
1017,,history: Mali: Tuareg: expedition against,تاريخ: مالي: حملات حربية
1019,,Sufism: orders,تصوف: طرق
1020,,devotional,تحنث
1021,,politics: migration: hijra,سياسة: هجرة
1023,,history: Nigeria: Hausaland: campaigns of ʿAbd Allah b. Fodio,تاريخ: نيجيريا: حويا: غزوات عبد الله بن فودي
1025,,hadith: selections: patience,حديث: مختارات: صبر
1027,,history: Mali: Azawad,تاريخ: مالي: أزواد
1028,,biography: ʿulamāʾ / bibliography,تراجم: علماء / ببليوغرافيا
1029,,Sufism: al-Ghazali,تصوف: الغزالي
1030,,history: Cameroon,تاريخ: كميرون
1031,,economy: sales,إقتصاد: بيوع
1032,,literature: elegy: al-Ḥājj ʿUmar Karkī,أدب: رثاء: الحاج عمر كركي
1033,,jurisprudence: duties: prayer: Maliki doctrine,فقه: عبادات: صلاة: مذهب مالك
1034,,Arabic language: morphology / calligraphy,لغة عربية: صرف / فن الخط
1035,,Prophet Muhammad: missions (& raids),سيرة نبوية: بعثات (وسرايا)
1036,,Sufism: hagiography: Muhammad b. Yusuf al-Sanusi,تصوف: مناقب: محمد بن يوسف السنوسي
1037,,history: Nigeria: early years of Islam,تاريخ: نيجيريا: سلف
1039,,jurisprudence / literature,فقه / أدب
1041,,history: Bilad al-Sudan: Takrur,تاريخ: بلاد السودان: تكرور
1042,,politics: replies to Ahmadou Lobbo of Massina,سياسة: أجوبة لأحمد لبو في ماسينا
1044,,history: Mali: Songhay and Timbuktu and Jenne,تاريخ: مالي: صنغاي وتمبكتو وجني
1045,,history: Bilad al-Sudan: scholars,تاريخ: بلاد السودان: علماء
1046,,politics: Tuareg and Hausa,سياسة: الطوارق والهوسا
1047,,geography: wonders of Timbuktu,جغرافيا: عجائب تنبكتو
1048,,esoteric sciences: secrets / devotional: invocation,باطنيات: أسرار /  تحنث: أدعية
1050,,Arabic language / literature / jurisprudence,لغة عربية / أدب / فقه
1052,,biography: Fatima,تراجم: فاطمة
1054,,belief / literature / logic,عقيدة / أدب / منطق
1055,,history: early years of Islam,تاريخ: سلف
1057,,Arabic language / literature,لغة عربية / أدب
1060,,history: Sahara,تاريخ: الصحراء
1062,,Prophet Muhammad: virtues of the Prophet,سيرة نبوية: فضائل النبي
1063,,history: Mauritania: tribes,تاريخ: موريتانية: قبائل
1064,,genealogy: Prophet Muhammad,أنساب: النبي محمد
1065,,biography: Ahmad Baba al-Tinbukti,تراجم: حمد بابا التنبكتي
1066,,history: Nigeria: Gobir,تاريخ: نيجيريا: غوبر
1068,,jurisprudence / Arabic language,فقه / لغة عربية
1069,,jurisprudence: marriage: intercourse: during her period,فقه: نكاح: جماع: حيض
1072,,geography: wonders of the world,جغرافيا: عجائب الدنيا
1073,,Arabic language: lexicon / morphology,لغة عربية: معجم / صرف
1074,,history: Bilad al-Sudan: rulers,تاريخ: بلاد السودان: ملوك
1077,,belief: prophets: Yusuf (Joseph),عقيدة: أنبياء: يوسف
1078,,history / belief,تاريخ / عقيدة
1079,,history: Berber & Tuareg / Songhay,تاريخ: البربر والطوارق/ سنغاي
1080,,jurisprudence / history / literature,فقه / تاريخ / أدب
1081,,history: Berber & Tuareg: Agades,تاريخ: البربر والطوارق: أغدز
1082,,Qurʾan: sciences of: sura names,قرآن: علوم القرآن: أسماء السور
1083,,hadith / jurisprudence,حديث/ فقه
1084,,ethics: Prophetic,أخلاق: نبوية
1086,,Sufism: polemic,تصوف: جدل
1087,,jurisprudence: duties: prayer: Friday prayer,فقه: عبادات: صلاة: جمعة
1088,,jurisprudence: sanctions,فقه: عقوبات
1089,,jurisprudence: principles: conundrums,فقه: أصول: ألغاز
1090,,Qurʾan: sciences of: first compilation,قرآن: علوم القرآن: تدوين
1091,,jurisprudence: problems: treaty,فقه: مسائل: معاهدة
1092,,jurisprudence: transactions: banking,فقه: معاملات: مع الأبناك
1093,,jurisprudence: lawful & unlawful: food: tea,فقه: الحلال والحرام: أكل: الشاي
1094,,Qurʾan: calligraphy and orthography,قرآن: الخط وإملاء
1095,,conduct: worshiper,آداب: المصلي
1096,,jurisprudence: duties: prayer: omission,فقه: عبادات: صلاة: سهو
1097,,jurisprudence: problems: truce,فقه: مسائل: مهادنة
1098,,jurisprudence / Qurʾan,فقه / قرآن
1101,,esoteric sciences: meanings of sura,باطنيات: خواص السور
1103,,devotional: intercession: Ahl Badr,تحنث: توسل: أهل بدر
1104,,devotional: intercession: at grave sites,تحنث: توسل: قبور
1105,,jurisprudence: lawful & unlawful: hospitality,فقه: الحلال والحرام: ضيافة
1106,,science: engineering / geometry,علوم: هندسة
1107,,Sufism / Arabic language: morphology,تصوف / لغة عربية: صرف
1109,,biography: Shaykh al-Mustʿayyin,تراجم: الشيخ المستعين
1110,,Sufism: states,تصوف: احوال
1111,,jurisprudence: problems: radios,فقه: مسائل: المذياع
1112,,jurisprudence: problems: womenʾs hairpieces,فقه: مسائل: وصل الشعر
1113,,jurisprudence: problems: modern technology,فقه: مسائل: مخترعات عصرية
1114,,jurisprudence: sanctions: alcohol consumption,فقه: عقوبات: شرب الخمر
1115,,genealogy: Quraysh,أنساب: قريش
1117,,Qurʾan: sciences of: synonyms,قرآن: علوم القرآن: مترادفات
1119,,jurisprudence: oaths and vows,فقه: أيمان ونذور
1120,,Qurʾan: sciences of: Makka and Medina,قرآن: علوم القرآن: مكي ومدني
1121,,"jurisprudence: marriage: consanguinity, precluding",فقه: نكاح: محارم
1123,,history: early years of Islam: ʿUmayyids andʿAbbasids,تاريخ: سلف: الامويون والعباسيون
1124,,history: Mauritania,تاريخ: موريتانية
1126,,"jurisprudence: principles: fatwa, making of",فقه: أصول: إفتاء
1127,,literature: study of: history,أدب: دراسة: تاريخ
1130,,history: Mauritania: mahadras,تاريخ: موريتانية: محاظر
1132,,biography: hagiography: Mahand Babah,تراجم: مناقب: محنض بابه
1133,,biography: al-Mutali,تراجم: المتالي
1134,,literature: collected works,أدب: مجموعة
1135,,jurisprudence: duties: prayer: in planes,فقه: عبادات: صلاة: في الطائرة
1136,,jurisprudence: lawful & unlawful: food: tea (& tobacco),فقه: الحلال والحرام: أكل: الشاي (ومانيجه)
1137,,hadith / literature,حديث / أدب
1138,,literature: proverbs (popular),أدب: أمثال (شعبية)
1139,,jurisprudence: lawful & unlawful: food: gum arabic,فقه: الحلال والحرام: أكل: طعامية العلك
1140,,history: Mauritania: colonial occupation,تاريخ: موريتانية: احتلال
1141,,literature: poetry: collection: Aḥmadū b. Aḥmadhyā al-Ḥasanī,أدب: ديوان: ابن أحمذيا
1142,,biography: Muhammad Salim b. al-Ma,تراجم: محمد سالم بن الما
1143,,biography: Yahzih b. ʿAbd al-Wadud,تراجم: يحظيه بن عبد الودود
1144,,belief / jurisprudence / logic,عقيدة / فقه / منطق
1145,,jurisprudence: principles: law-schools: Hanafi,فقه: أصول: مذاهب: حنفية
1146,,jurisprudence: principles: law-schools: Hanbali,فقه: أصول: مذاهب: حنبلية
1147,,jurisprudence: duties: zakat: paper money,فقه: عبادات: زكاة: الاوراق المصرفية
1148,,geography,جغرافيا
1149,,history: Mauritania: place names,تاريخ: موريتانية: اماكن
1150,,genealogy: Mauritania,أنساب: موريتانية
1151,,genealogy: Arabs,أنساب: العرب
1153,,biography: Ahmadu b. Dahah,تراجم: أحمدو بن دهاه
1154,,Qurʾan: exegesis (& invocation),قرآن: تفسير (وأدعية)
1155,,jurisprudence: problems: custom,فقه: مسائل: عرف
1156,,biography: Ibn al-ʿAbbas,تراجم: ابن العباس
1157,,biography: Shaykh al-Hadi,تراجم: الشيخ الهادي
1159,,jurisprudence:  transactions: sales: security,فقه: معاملات: بيوع: رهن
1160,,history: Mauritania and Senegal,تاريخ: موريتانية وسنيغالية
1162,,biography: Shaykh Muhammad al-Hafiz,تراجم: الشيخ محمد الحافظ
1163,,bibliography: works by Sidi al-Mukhtar al-Kunti,ببليوغيافيا: مؤلفات سيد المختار الكنتي
1164,,genealogy: Mauritania: Hodh,أنساب: موريتانية: الحوض
1165,,jurisprudence: problems: taxes,فقه: مسائل: مكوس
1168,,geography: Mauritania,جغرافيا: موريتانيا
1169,,biography: Shaykh Maʾ al-ʿAynayn,تراجم: الشيخ ماء العينين
1170,,history: Mauritania: events,تاريخ: موريتانية: حوادث
1171,,jurisprudence: transactions: slaves: patronage,فقه: معاملات: عبيد: ولاء
1172,,"belief: unbelief, accusation of",عقيدة: تكفير
1174,,biography: Shaykh Sidiyya (al-Kabir),تراجم: الشيخ سيديا (الكبير)
1175,,conduct: youth,آداب: شباب
1176,,jurisprudence: duties: fasting,فقه: عبادات: صيام
1177,,jurisprudence: adjudication: authority,فقه: قضاء: تقليد
1178,,biography: al-Yadali,تراجم: اليدالي
1179,,biography: Ibn al-Ma,تراجم: محمد سالم بن الما
1180,,biography: Shaykh Mahand Babaha,تراجم: الشيخ محنض بابه
1182,,biography: Shaykh Taqi Allah,تراجم: الشيخ تقي الله
1183,,jurisprudence: problems: pension,فقه: مسائل: معاش
1184,,jurisprudence / ethics,فقه / أخلاق
1186,,history: Mali: Mali and Songhay,تاريخ: مالي: مالي وصنغاي
1187,,history: Mali: rulers of Massina,تاريخ: مالي: ملوك ماسينا
1188,,politics: allegiance: Massina / Kunta,سياسة: مبايعة: ماسينا/ كنتة
1190,,politics: Fadi b. ʿAbidin (?),سياسة
1192,,history: Bilad al-Sudan: Sultans,تاريخ: بلاد السودان: سلاطين
1193,,esoteric sciences: charms / talismans: hidden meanings,باطنيات: رقي / طلاسم: أسرار
1194,,jurisprudence: duties: charity / fasting,فقه: عبادات: صدقة / صيام
1195,,Prophet Muhammad: biography,سيرة نبوية
1196,,politics: counsel (rulers),سياسة: شورى (الحكام)
1197,,history: creeds and denominations,تاريخ: ملل ونحل
1198,,literature: anecedotes and poetry,أدب: نوادر وشعار
1199,,jurisprudence / literature / history,فقه / أدب / تاريخ
1202,,literature: invocation,أدب: توسل
1204,,biography: Ahmad al-Rifaʿi,تراجم: أحمد الرفاعي
1207,,jurisprudence: duties: purification,فقه: عبادات: طهارة
1208,,"geography: qibla, determination of",جغرافيا: موقع القبلة
1210,,biography: ʿAbd al-Rahman b. Muhammad b. ʿAbd al-Rahman al-Madyuni,تراجم: عبد الرحمن: علومه واعماله
1211,,science: astronomy: compass,علوم: فلك: بوصلة
1212,,jurisprudence: adjudication: pretext,فقه: قضاء: ذرائع
1214,,philosophy / logic,فلسفة / منطق
1216,,jurisprudence: dialogue,فقه: محاورة
1217,,jurisprudence: refutation of beliefs in Black Africa,فقه: دحض مزاعم عن أفريقيا السوداء
1218,,Sufism: biography: Ahmad b. Jaʿfar al-Sabti,تصوف: تراجم : احمد بن جعفر السبتي
1221,,Qurʾan: study of,قرآن: دراسة
1224,,history: prophets,تاريخ: قصص الأنبياء
1225,,medicine: treatment: by plants,طب: علاخ: التداوي بالأعشاب
1226,,jurisprudence: inheritance: arithmetic and inheritance,فقه: ميراث: حساب الميراث
1231,,esoteric sciences: magic,باطنيات: سحر
1232,,Arabic language: phonetics,لغة عربية: صوتيات
1235,,hadith: selections: spiritual counsel,حديث: مختارات: وعظ وإرشاد
1236,,Prophet Muhammad: the Prophet and the four Khulafaʾ,سيرة نبوية: النبي والخلفاء الأربعة
1238,,science: zoology,علوم: حيوان
1239,,jurisprudence / history / prosody,فقه / تاريخ / عروض
1243,,jurisprudence: adjudication: legal opinions: alcohol,فقه: قضاء: فتوي: أراء الفقهاء في الكحوليات
1245,,jurisprudence / history,فقه / تاريخ
1246,,history: genealogy: Arabs: tribes,تاريخ: أنساب: العرب: قبائل
1247,,history: Arabs,تاريخ: العرب
1248,,belief: sects: religions,عقيدة: فرق: أديان
1249,,Sufism / ethics / prayers,تصوف / أخلاق / أدعية
1251,,biography: al-Qastallani,تراجم: القسطلاني
1252,,belief: questions,عقيدة: مسائل
1253,,belief: theology / esoteric sciences: astrology,عقيدة: توحيد / باطنيات: تنجيم
1254,,social matters: relationships: relations during war,مجتمعية: علاقات: العلاقات في الحروب
1255,,social matters: relationships: relations with infidels,مجتمعية: علاقات: العلاقات مع الكفار
1256,,jurisprudence / belief: theology / Sufism,فقه / عقيدة: توحيد/ تصوف
1257,,education: license: hadith,تربية: إجازة: حديث
1258,,Arabic language: lexicon: names of animals,لغة عربية: معجم: أسماء الحيوان
1259,,jurisprudence: duties: the month of Ramadan,فقه: عبادات: صوم: فضائل شهر رمضان
1262,,literature: diverse: love / praise / counsel,أدب: متعدد: عشق / مدح / نصائح
1264,,Qurʾan: study of: virtues (of suras),قرآن: دراسة: فضائل القرآن
1266,,history: Turkey: Istanbul,تاريخ: تاريخ إستانبول
1268,,esoteric sciences: astrology / magic,باطنيات: تنجيم / سحر
1270,,politics: reconciliation,سياسة: اصلاح
1271,,literature: counsel,أدب: نصائح
1272,,hadith: selections: virtues of sura al-Ikhlas,حديث: مختارات: فضل سورة الاخلاص
1274,,history: events: deaths of well-known Islamic figures,تريخ: حوادث: وفيات: شخصيات عظيمة في الاسلام
1275,,literature: poetry: nostalgia for oneʾs country,أدب: شعر: حنين إلي الوطن
1277,,Prophet Muhammad: campaigns: battle of Badr,سيرة نبوية: غزوات: موقعة بدر
1278,,jurisprudence: adjudication: spouse relations,فقه: قضاء: النكاح
1279,,science: astronomy: the solar year,علوم: فلك: السنة الشمسية
1280,,history: al-Husayn b. ʿAli b. Abi and Yazid b. Muʿawiyya,تاريخ: الحسين بن علي بن أبي ويزيد بن معاوية
1281,,genealogy: Maghrib shurafaʾ,أنساب: شرفاء المغرب
1282,,Prophet Muhammad: ascension of,سيرة نبوية: الاسراء والمعراج
1283,,belief: theology / jurisprudence / Sufism,عقيدة: توحيد / فقه / تصوف
1288,,jurisprudence / Prophet Muhammad,فقه / سيرة نبوية
1289,,Qurʾan: qualities of,قرآن: فضائل القرآن
1290,,Arabic language: lexicon: semantics,لغة عربية: معجم: معان
1291,,history: events: expedition in Africa,تاريخ: حوادث: حملات إلي إفريقيا
1292,,Qurʾan: sciences of: semantics,قرآن: علوم القرآن: ألفاظ القرآن
1293,,biography: hagiography: saints and prophets,تراجم: مناقب: جماعية: المعرفة والعلوم
1294,,jurisprudence / belief: theology,فقه / عقيدة: توحيد
1295,,literature: morals,أدب: أخلاقيات
1296,,literature: criticism,أدب: نقد
1297,,Sufism / ethics,تصوف / أخلاق
1298,,jurisprudence: relations between Muslims and non-Muslims,فقه: علاقات المسلمين بغيرهم من الكفار
1299,,politics: warfare: military expedition,سياسة: محاربة: حملات عسكرية
1301,,belief: exhortation: spirituality,عقيدة: وعظ: روحانيات
1303,,hadith: selections: virtues of ʿAshuraʾ,حديث: مختارات: فضل صوم عاشوراء
1305,,economy: assistance: request for aid,إقتصاد: إعانة: طلب
1306,,biography: al-Hajjaj b. Yusuf,تراجم: الحجاج بن يوسف
1307,,Qurʾan: study of: meta studies,قرآن: دراسة: تأملات
1308,,Qurʾan: selections: value of the Opening,قرآن: الفاتحة: مختارات: سورة الفاتحة
1309,,jurisprudence: marriage: spouse relations,فقه: نكاح: علاقات زوجية
1310,,jurisprudence: transactions: slaves,فقه: معاملات: عبيد
1315,,history: stories,تاريخ: قصص
1317,,social matters: transactions,مجتمعية: معاملات
1319,,politics: greetings & news,سياسة: تحية  وإخبار
1321,,esoteric sciences: astrology / charms / talismans,باطنيات: تنجيم / رقي / طلاسم
1323,,"Prophet Muhammad: names, companions and fuqaha",سيرة نبوية: أسماء: الصحابة والفقهاء
1324,,Qurʾan: selections: Ayat al-Kursi,قرآن: مختارات: آية الكرسي
1325,,Sufism: sainthood: names of saints,تصوف: ولاية: أسماء الزهاد
1326,,jurisprudence: adjudication: legal opinions: divorce,فقه: قضاء: فتاوي: الطلاق
1327,,history: legend,تاريخ: أساطير
1328,,Prophet Muhammad: birth,سيرة نبوية: مولد النبي
1329,,jurisprudence: replies,فقه: أجوبة
1331,,politics: theory of government: advice to rulers,سياسة: أحكام سلطانية: نصائح للحكام
1334,,belief: theology: heaven (description),عقيدة: توحيد: وصف الجنة
1335,,jurisprudence / belief: theology: replies,فقه / عقيدة: توحيد: أجوبة
1337,,Prophet Muhammad: companions: battle of Badr,سيرة نبوية: الصحابة: موقعة بدر
1339,,belief: unbelief: signs of: contemporary,عقيدة: تكفير: علامات الكفر: المعاصرين
1340,,Arabic language: grammar: the letters ḍād and ẓāʾ,لغة عربية: نحو: حرف الضاد والظاء
1343,,hadith: selections: virtues of the month Dhu al-Hijja,حديث: مختارات: فضل شهر ذي الحجة
1344,,history: genealogy,تاريخ: أنساب
1345,,politics: request: forgiveness,سياسة: طلبات: اعتذار
1347,,literature / history,أدب / تاريخ
1348,,literature: wisdom,أدب: مواعظ
1349,,literature / hadith,أدب / حديث
1351,,history: Berbers,تاريخ: بربر
1352,,devotional: sermon / jurisprudence / hadith,تحنث: خطبة / فقه / حديث
1353,,literature: anthology,أدب: مختارات
1354,,jurisprudence: duties: generosity,فقه: عبادات: سلوك: كرم
1356,,ethics: comportment: honoring,أخلاق: سلوك: تكريم
1359,,ethics: comportment: hospitality,أخلاق: سلوك: ترحيب
1360,,conduct: slaves: relations with,آداب: عبيد: معاملة العبيد
1361,,ethics: comportment: blame,أخلاق: سلوك: عتاب
1362,,ethics: comportment: love,أخلاق: سلوك: وداد
1363,,Arabic language / jurisprudence,لغة عربية /  فقه
1364,,ethics: comportment: request for aid,أخلاق: سلوك: طلب المساعدة
1366,,hadith: selections: for casting lots,حديث: مختارات: إستخارة
1368,,belief: theology / prayer,عقيدة: توحيد / أدعية
1369,,Qurʾan: study of: comparative studies,قرآن/حديث: دراسة: متشابهات
1371,,"hadith: Prophet Muhammad, replies of",حديث: أجوبة للرسول
1372,,economy: inheritance,إقتصاد: ميراث
1373,,belief: theology: Judgement Day,عقيدة: توحيد: يوم الحساب
1375,,history: events: jihad,تاريح: حوادث: جهاد
1376,,genealogy: Prophet Muhammad: Arabs,أنساب: الرسول: العرب
1378,,esoteric sciences: astrology / divination,باطنيات: تنجيم / جفر
1379,,hadith: Qudsiyya,حديث: قدسي
1380,,literature: praise / description,أدب: مدح / وصف
1381,,ethics: spiritual counsel: self-control,أخلاق: إرشاد: صبر
1382,,social matters: census: names,مجتمعية: إحصاء: قوائم أسماء
1384,,history: Mali: military,تاريخ: مالي: عسكري
1385,,politics: duties,سياسة: حكم
1387,,jurisprudence: marriage: intercourse,فقه: نكاح: جماع
1390,,devotional: prayer: tasbih,تحنث: صلاة: تسبيح
1391,,Sufism: praise,تصوف: مدح
1395,,history: events: fall of the town of Gemmu Kura,تاريخ: حوادث: نوازل
1398,,Qurʾan: study of: ordering and binding,قرآن: دراسة: جمع وترتيب
1401,,belief: theology / history,عقيدة: توحيد / تاريخ
1402,,economy: census: inventory,إقتصاد: إحصاء: سجلات
1404,,Qurʾan / hadith: tafsir,قرآن / حديث: تفسير
1405,,belief: theology / jurisprudence: replies,عقيدة: توحيد / فقه: أجوبة
1406,,literature: Sufism: sadness,أدب: وصف: حزن
1407,,jurisprudence: duties: prayer: replies,فقه: عبادات: صلاة: أجوبة
1408,,jurisprudence: duties: zakat: replies,فقه: عبادات: زكاة: أجوبة
1409,,Qurʾan / jurisprudence,قرآن/ فقه
1410,,belief: theology / jurisprudence,عقيدة: توحيد / فقه
1412,,belief: unbelief: signs of,عقيدة: تكفير: علامات الكفر
1413,,ethics: generosity,أخلاق: كرم
1418,,history: reign of al-Hakim b. Amr Allah,تاريخ: حكم الحاكم بن أمر الله
1419,,"history: Egypt, conquest of: Bonaparte",تاريخ: مصر أيام نابليون
1421,,belief: martyrs,عقيدة: شهداء
1422,,economy: finance,إقتصاد: ماليات
1423,,history: stories: al-Husayn,تاريخ: قصص: الحسين
1425,,"belief: Shaʿban, month of: virtues of night in",عقيدة: فضائل ليلة نصف شعبان
1428,,literature: maxims,أدب: أمثال
1429,,literature: guidance,أدب: إرشاد
1430,,social matters: relationships,مجتمعية: علاقات
1431,,social matters: accusations,مجتمعية: إتهام
1432,,Arabic language: grammar: the tashdīd,لغة عربية: نحو: تشديد
1433,,jurisprudence: marriage: counsel,فقه: نكاح: نصائح
1435,,jurisprudence: duties: gifts,فقه: عبادات: تعاويذ
1436,,literature: stories: Islamic,أدب: قصص: إسلامي
1437,,literature: biography: verse,أدب / تراجم: شعر
1438,,history: stories: Harut and Marut,تاريخ: قصص: هاروت وماروت
1439,,history: Mali: war: tribes of Bakr and Taghlib,تاريخ: مالي: حروب: قبيلة بكر وتغلب
1441,,ethics: accusation,أخلاق: عتاب
1442,,science: science and knowledge: virtues of,علوم: فضائل العلوم و العلم
1444,,history: stories: Joseph and his brothers,تاريخ: قصص: يوسف وأخوته
1445,,history: Mali: the battle of Genumu,تاريخ: مالي: وصفي: معركة حربية
1446,,history: events: conquest,تاريخ: حوادث: حروب
1448,,science: zoology: similarities of men and animals,علوم: حيوان: تشريح
1449,,Qurʾan: recitation: phonetics: prolongation letters,قرآن: تجويد: حروف المد
1451,,belief: theology / Prophet Muhammad,عقيدة: توحيد / سيرة نبوية
1452,,Prophet Muhammad: advice,سيرة نبوية: وصية
1454,,belief: theology / hadith: virtues of the day ʿAshuraʾ,عقيدة: توحيد / حديث: فضائل عاشوراء
1455,,belief: theology / jurisprudence: diverse,عقيدة: توحيد / فقه: متعدد
1456,,belief: theology: death,عقيدة: توحيد: الموت
1457,,hadith / hidden meanings,حديث / أسرار
1458,,belief: exhortation: good works,عقيدة: وعظ: العمل بالدين
1459,,Sufism: diverse,تصوف: متعدد
1461,,jurisprudence: maxims,فقه: أحكام
1463,,"belief: dreams, interpretation of",عقيدة: رؤية
1464,,social matters: relationships: marriage,مجتمعية: علاقات: كهانة
1465,,politics: allegiance,سياسة: مبايعة
1467,,politics: warfare: military information,سياسة: محاربة: استعداد عسكري
1468,,"Sufism: sainthood: saints, list of",تصوف: قوائم أسماء العابدين
1470,,politics: administration: financial and military matters,سياسة: إدارة: استعداد مالي وعسكري
1471,,ethics: complaint,أخلاق: سوء معاملة
1474,,Prophet Muhammad: character,سيرة نبوية: شمائل
1475,,medicine: Prophetic: ophthalmology,طب نبوي: أمراض العين
1477,,belief: theology: power of Allah,عقيدة: توحيد: قدرة الله
1478,,devotional: invocation: virtues of dhikr,تحنث: أدعية : فضائل ذكر الله
1482,,Sufism: praise to Allah,تصوف: مديح الهي
1485,,jurisprudence: adjudication: animal sacrifice (for the dead),فقه: قضاء: الذبح للميت
1486,,literature: eulogy: Khulafaʿ,أدب: مدح: خلفاء
1487,,education: chain of authority: Nasariyya (& other brotherhoods),تربية: سلسلة: تجانية
1488,,esoteric sciences: secrets: occultism,باطنيات: أسرار: تنجيم
1489,,literature: poetry: epic,أدب: شعر: ملحمة
1490,,politics: administration: request for aid and a judge,سياسة: إدارة: قضاء
1491,,jurisprudence: transactions: land claims,فقه : معاملات: إستصلاح الأرض
1494,,Prophet Muhammad: legends and miracles,سيرة نبوية: معجزات النبي
1495,,Sufism: sainthood: Saʿd b. Ibrahim,تصوف: ولاية: سعد بن إبراهيم
1496,,literature: stories: campaigns,أدب: قصص: غزوات
1497,,politics: request,سياسة: طلبات
1501,,esoteric sciences: secrets: al-Dimyātī,باطنيات: أسرار: الدمياتي
1502,,politics: accusations: complaint against Amir,سياسة: إتهام: تذمر ضد الحاكم
1504,,devotional: prayer: for sick cattle (& slaughter),تجنث: صلاة
1505,,Qurʾan: selections: passage,قرآن: مختارت: نص
1507,,politics: administration: advice to governors,سياسة: إدارة: اسداء النصح للحاكم
1509,,literature: praise / wisdom and ignorance,أدب: مدح / العام وذم
1510,,"Sufism: Prophet, affection for",تصوف: حب البني
1512,,politics: enpowerment of Ahmad al-Kabir al-Madani,سياسة: تولية أحمد الكبير المدني الحكم
1515,,literature: virtues of ḥamdala,أدب: فضائل حمدل
1516,,Sufism: hidden meanings / Qurʾan: virtues of the suras,تصوف: أسرار / قرآن: فضائل السور
1517,,politics: slavery,سياسة: رقيق
1518,,politics: diverse,سياسة: متعدد
1521,,belief: theology: earthly existence,عقيدة: توحيد: التعلق بالدنيا
1522,,Arabic language: lexicon: alphabet,لغة عربية: معجم: حروف الهجاء
1523,,belief: demons: dialogue between Prophet Muhammad and Satan,عقيدة: شياطين
1527,,politics: accusations,سياسة: إتهام
1530,,politics: administration: villages under Wulibo,سياسة: إدارة: بلدان ???
1531,,politics: request: for an army,سياسة: طلبات: اعداد الجيش
1532,,jurisprudence: transactions: zakat,فقه: معاملات: زكاة
1533,,jurisprudence: adjudication: dispute,فقه: قضاء: خصومات
1535,,esoteric sciences: astrology: charlatan,باطنيات: تنجيم: دجل
1536,,economy: purchase,إقتصاد: شراء
1538,,social matters: census: slaves,مجتمعية: إحصاء: رقيق
1539,,jurisprudence: adjudication: justice,فقه: قضاء: عدالة
1540,,jurisprudence: lawful & unlawful: diet,فقه: الحلال والحرام: أطعمة
1541,,economy: division of assets: distribution to women,إقتصاد: تقسيم أموال: حساب ديون
1543,,economy: goods purchased (by amir al-muʾminin),إقتصاد: مشتروات
1544,,social matters: census,مجتمعية: إحصاء
1546,,politics: administration: order to free some people and distribution of money,سياسة: إدارة: اطلاق سراح بعض المساجين
1547,,politics: administration: order to search for slaves,سياسة: إدارة: أمر بالبحث عن العبيد
1551,,politics: administration: messengers to Ahmad al-Madani,سياسة: إدارة: رسول (?)
1552,,social matters: relationships: reprimand,مجتمعية: علاقات: عتاب
1553,,politics: warfare: victory predictions,سياسة: محاربة: انتصارات عسكرية
1555,,economy: assistance: slaves,إقتصاد: إعانة: عبيد
1556,,politics: allegiance: declaration (people of Walata to Amir al-Muʾminin),سياسة: مبايعة: اعلان الطاعة
1559,,politics: administration: census (soldiers & arms),سياسة: إدارة: إحصاء (جنود و مدافع)
1561,,economy: money (transportation of),إقتصاد: مال
1562,,politics: administration: payment (for loyality),سياسة: إدارة: دفعة المال
1564,,politics: administration: census (tax collectors & horses),سياسة: إدارة: إحصاء (جامعي الضرائب و افراس )
1565,,politics: administration: report on mission,سياسة: إدارة: بلاغ
1566,,jurisprudence: transactions: trade,فقه: معاملات: تجارة
1567,,belief: theology: death: burial,عقيدة: توحيد: الموت: إرتكاب
1568,,hadith: selections: morals (and religious virtues),حديث: مختارات: أخلاقيات
1569,,economy: slaves (claims over),إقتصاد: عبيد (تحرير العبيد)
1570,,politics: administration: census (names of women),سياسة: إدارة: إحصاء: (أسماء النساء)
1571,,politics: administration: census (slaves),سياسة: إدارة: إحصاء: أسري
1573,,politics: admonition,سياسة: وعظ
1574,,economy: religious gifts (zakat levied on harvest),إقتصاد: هدايا (المحاصيل)
1575,,economy: slaves: census,إقتصاد: عبيد: إحصاء
1576,,economy: slaves,إقتصاد: عبيد
1577,,economy: assistance: slaves (booty),إقتصاد: إعانة: عبيد (غنيمة)
1579,,politics: administration: fire arms,سياسة: إدارة: مدافع
1580,,politics: administration: command,سياسة: إدارة: امر
1582,,politics: administration: census,سياسة: إدارة: إحصاء
1583,,politics: administration: census (women),سياسة: إدارة: إحصاء (نساء)
1584,,politics: administration: conquest,سياسة: إدارة: انتصار
1585,,Sufism: letters of the alphabet,تصوف: حروف الهجاء
1586,,economy: assistance: provisioning,إقتصاد: إعانة: تدبير
1587,,economy: prices: clothes,إقتصاد: ثمن: ملابس
1588,,economy: assistance: request for financial aid,إقتصاد: إعانة: طلب الإعانة
1589,,economy: prices: goods,إقتصاد: ثمن: مدفوعات
1590,,economy: zakat,إقتصاد: زكاة
1591,,politics: request: for liberation of slaves,سياسة: طلبات: أمر بالولاء للحاكم
1593,,history: Mali: Dinguiray,تاريخ: مالي: سلسل زمني: دنغراي
