ID,Parent ID,Subject,Arabic Subject
180,,"jurisprudence: transactions: wealth, redistribution by force",فقه: معاملات: اعادة توزيع الثروة
181,,literature: elegy,أدب: رثاء
182,,devotional: intercession,تحنث: توسل
183,,Sufism: asceticism,تصوف: زهد
185,,"belief: theology: Allah, proofs of existence",عقيدة: توحيد: وجود الخالق
186,,Qurʾan / hadith,قرآن / حديث
187,,jurisprudence: problems: homes as mosques / ritual purity,فقه: مسائل: اتخاذ البيوت مساجد / طهارة
188,,jurisprudence: lawful & unlawful: womenʾs hairpieces,فقه: الحلال والحرام: وصل الشعر
189,,jurisprudence: adjudication: legal opinions: fasting/ritual purity,فقه: قضاء: فتاوي: صوم الجمعة/طهارة
190,,history: Mauritania: tribes: Idawʿish / Mashzhuf,تاريخ: موريتانية: قبائل: ادوعيش / مشظوف
191,,jurisprudence: duties: purification / prayer / supplications,فقه: عبادات: طهارة / صلاة / أدعية
192,,jurisprudence: marriage: wedding celebration,فقه: نكاح: حفلة العرس
194,,jurisprudence: transactions: land ownership,فقه: معاملات: ملك الأرض
195,,jurisprudence: duties: fasting: moon-sighting,فقه: عبادات: صوم: رؤية الهلال
196,,conduct: eating etiquette,آداب أطعمة
197,,literature: poetry: collection: Sidiyya b. al-Mukhtār b. al-Hayba al-Intishāʾ ī,أدب: ديوان: سيدي الكبير
198,,conduct: respect for parents,آداب: بر الوالدين
199,,conduct: in mosques,آداب: في المساجد
200,,jurisprudence: duties: charity,فقه: عبادات: صدقة
201,,literature: study of: gatherings for literary study,أدب: دراسة: مجالس
202,,jurisprudence: problems: rulers: & not associating with,فقه: مسائل: النهي عن مخالطة السلطان
203,,ethics: condolences,أخلاق: مواساة
204,,jurisprudence: problems: sales / marriage (analogy of illegal kinds),فقه: مسائل: بيوع / نكاح
205,,"jurisprudence: sanctions: grazing, unsupervised",فقه: عقوبات: ضوال
207,,jurisprudence: sanctions: magic,فقه: عقوبات: سحر
208,,"belief: unbelief, accusations of: Banu Hassan",عقيدة: تكفير: بنو حسان
210,,science: astronomy: calendar: Julien months,علوم: فلك: تقويم: شهور العجمية
212,,belief: theology: Divine attributes,عقيدة: توحيد: صفات الله
213,,jurisprudence: transactions: sales: contracts,فقه: معاملات: بيوع: عقود
214,,jurisprudence: duties: zakat (debate),فقه: عبادات: زكاة (محاوقة)
215,,literature: eulogy: Muhammad Salim al-Majlisi,أدب: مدح: محمد سالم المجاسي
216,,history,تاريخ
217,,history: Mauritania: tribes: IdawʿAli,تاريخ: موريتانية: قبائل: ادوعلي
218,,economy: religious gifts,إقتصاد: هدايا
219,,biography: Ibn Matali,تراجم: ابن متالي
220,,genealogy: Mauritania: Idabilhasan,أنساب: موريتانيا: ادابلحسن
